p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
p.c.r = 255  | p.c.g = 0
